correct_answer,student_answer,error_type
Meeatto botakanda balanava,Balanawa meeatto botakanda,word_order_error
Topan irapojja tibenava,Topan tibenava irapojja,word_order_error
Topan irapojja tibenava,Irapojja topan tibenava,word_order_error
Topan irapojja tibenava,Irapojja tibenava topan,word_order_error
Topan irapojja tibenava,Tibenava topan irapojja,word_order_error
Topan irapojja tibenava,Tibenava irapojja topan,word_order_error
botakanda,botakandaa,spelling_error
botakanda,botakundaa,spelling_error
malia,malai,spelling_error
malia,mallia,spelling_error
ajjejja,ajjeja,spelling_error
ajjejja,ajejja,spelling_error
kankunaa,kankuna,spelling_error
kankunaa,kankuuraa,spelling_error
kankunaa,kangkanaa,spelling_error
karia,karai,spelling_error
hatera,hateraa,spelling_error
okma,okmmaa,spelling_error
okma,omka,spelling_error
kandaarni,kandarni,spelling_error
mundi,muundi,spelling_error
potti,potii,spelling_error
potti,ppotti,spelling_error
makini,makinni,spelling_error
ikini,ikni,spelling_error
ikini,ikinii,spelling_error
ayrukula,ayruukula,spelling_error
ugurudanda,ugurudana,spelling_error
kirigejja,kirigeja,spelling_error
kavitana,kavittana,spelling_error
giniracca,giniraca,spelling_error
barapojja,barapojjaa,spelling_error
barapojja,barappoja,spelling_error
ekama,ekmama,spelling_error
ekamak,ekmak,spelling_error
dekamak,dekamawk,spelling_error
tunamay,tunamaya,spelling_error
meeatto,meiato,spelling_error
meeatto,meeattoo,spelling_error
topan,topun,spelling_error
topan,toppan,spelling_error
koyba,kayba,spelling_error
eyaba,eybaba,spelling_error
puccakaduvaa,pucakaduvaa,spelling_error
anaganapan,anagananpan,spelling_error
botadamanya,botadamaanya,spelling_error
indine,indinie,spelling_error
diyaracca,diyaraca,spelling_error
ajjejja,ajjejha,spelling_error
ijjejja,ijjajja,spelling_error
ijjejja,ijjeja,spelling_error
okma,okmaa,spelling_error
okma,ookma,spelling_error
botakanda,botakkanda,spelling_error
botakanda,botakndaa,spelling_error
kankunaa,kangkunaa,spelling_error
kandaarni,kandaarnii,spelling_error
kandaarni,kandaarna,spelling_error
mundi,mundii,spelling_error
mundi,undi,spelling_error
potti,poti,spelling_error
potti,pootti,spelling_error
giniraacca,giniracca,spelling_error
giniraaccaa,giniracca,spelling_error
giniraaccaa,giniraacaa,spelling_error
pannilaatto,panilaatto,spelling_error
pannilaatto,pannilaat,spelling_error
deyyalaatto,deyalaatto,spelling_error
deyyalaatto,deyyalaato,spelling_error
irapojja,irapooja,spelling_error
irapojja,iroojja,spelling_error
bara,baara,spelling_error
bara,brara,spelling_error
barapojja,barapooja,spelling_error
barapojja,barapajja,spelling_error
ayrukula,ayrukkula,spelling_error
ayrukula,ayrukolla,spelling_error
ugurudanda,ugurudandaa,spelling_error
ugurudanda,uguruddanda,spelling_error
veedipojja,veedippoja,spelling_error
veedipojja,veedipooja,spelling_error
kirigejja,kirigejaa,spelling_error
kirigejja,kirigejjaa,spelling_error
kavitana,kavritana,spelling_error
galrakki,galraakki,spelling_error
galrakki,glarakki,spelling_error
caalava,caalvava,spelling_error
caalava,aalava,spelling_error
bucca,buca,spelling_error
bucca,buccaa,spelling_error
meeatto,meatto,spelling_error
meeatto,meaatto,spelling_error
topan,toopan,spelling_error
topan,topann,spelling_error
eyaba,eayaba,spelling_error
eyaba,eyabaa,spelling_error
koyba,koymba,spelling_error
koyba,koybba,spelling_error
huura,huurra,spelling_error
huura,huuraa,spelling_error
Meeatto okma balanava,Meeatto okma bulanava,spelling_error
Meeatto okma balanava,Meeato okma balanava,spelling_error
Meeatto okma balanava,Meeatto okmaa balanava,spelling_error
Meeatto okma balanava,Meeatto okma balnava,spelling_error
Meeatto okma balanava,Meeatto okmma balanava,spelling_error
Topan diyaracca balanava,Topan diyaracca balonava,spelling_error
Topan diyaracca balanava,Topan diyaracca balanav,spelling_error
Topan diyaracca balanava,Topan dyaracca balanava,spelling_error
Topan diyaracca balanava,Topan diaracca balanava,spelling_error
Topan diyaracca balanava,Topan diyaracca balanava,spelling_error
Meeatto giniraacca tibenava,Meeatto giniracca tibenava,spelling_error
Meeatto giniraacca tibenava,Meeatto gnniraacca tibenava,spelling_error
Meeatto giniraacca tibenava,Meeatto giniraaca tibenava,spelling_error
Meeatto giniraacca tibenava,Meeatto ginraacca tibenava,spelling_error
Meeatto giniraacca tibenava,Meeatto giniraacca tibenav,spelling_error
Topan kankunaa puccakaduvaa,Topan kankuna puccakaduvaa,spelling_error
Topan kankunaa puccakaduvaa,Topan kangkunaa puccakaduvaa,spelling_error
Topan kankunaa puccakaduvaa,Topan kankunaa puccakduvaa,spelling_error
Topan kankunaa puccakaduvaa,Topan kankunaa pucakaduvaa,spelling_error
Topan kankunaa puccakaduvaa,Topan kankunaa puccakaduvaa,spelling_error
Meeatto mundi balanava,Meeatto mudi balanava,spelling_error
Meeatto mundi balanava,Meeatto mundii balanava,spelling_error
Meeatto mundi balanava,Meeatto mmundi balanava,spelling_error
Meeatto mundi balanava,Meeatto mundy balanava,spelling_error
Meeatto mundi balanava,Meeatto mundi balnava,spelling_error
Topan potti balanava,Topan poti balanava,spelling_error
Topan potti balanava,Topan pootti balanava,spelling_error
Topan potti balanava,Topan potti balava,spelling_error
Topan potti balanava,Topan potti balanva,spelling_error
Topan potti balanava,Topan potti bkalava,spelling_error
Meeatto pannilaatto tibenava,Meeatto panilaatto tibenava,spelling_error
Meeatto pannilaatto tibenava,Meeatto pannilaato tibenava,spelling_error
Meeatto pannilaatto tibenava,Meeatto pannilaatto tibenav,spelling_error
Meeatto pannilaatto tibenava,Meeatto pennilaatto tibenava,spelling_error
Meeatto pannilaatto tibenava,Meeatto pannilaatto tibenaa,spelling_error
Topan deyyalaatto balanava,Topan deyalaatto balanava,spelling_error
Topan deyyalaatto balanava,Topan deyyalaatto balnav,spelling_error
Topan deyyalaatto balanava,Topan deyyalaato balanava,spelling_error
Topan deyyalaatto balanava,Topan deyyalaatto bulanava,spelling_error
Topan deyyalaatto balanava,Topan deyyalaatto balanava,spelling_error
Meeatto kirigejja balanava,Meeatto kirigejjaa balanava,spelling_error
Meeatto kirigejja balanava,Meeatto kihigejja balanava,spelling_error
Meeatto kirigejja balanava,Meeatto kirigeja balanava,spelling_error
Meeatto kirigejja balanava,Meeatto kirijejja balanava,spelling_error
Meeatto kirigejja balanava,Meeatto kirigejha balanava,spelling_error
Topan irapojja tibenava,Topan irapojja tibenav,spelling_error
Topan irapojja tibenava,Topan irapooja tibenava,spelling_error
Topan irapojja tibenava,Topan irapojja tibnenava,spelling_error
Topan irapojja tibenava,Topan irapojaj tibenava,spelling_error
Topan irapojja tibenava,Topan iropojja tibenava,spelling_error
Meeatto botakanda balanava,Meeatto botakkandaa balanava,spelling_error
Meeatto botakanda balanava,Meeatto botakndaa balanava,spelling_error
Meeatto botakanda balanava,Meeatto botakanda balnava,spelling_error
Meeatto botakanda balanava,Meeatto botakanda bulanava,spelling_error
Meeatto botakanda balanava,Meeatto botakanda balanava,spelling_error
Topan potti tibenava,Topan poti tibenava,spelling_error
Topan potti tibenava,Topan pootti tibenava,spelling_error
Meeatto kandaarni balanava,Meeatto kandaarni balanava,spelling_error
Meeatto kandaarni balanava,Meeatto kandaarni balnava,spelling_error
Meeatto kandaarni balanava,Meeatto kandarni balanava,spelling_error
Meeatto kandaarni balanava,Meeatto kandaarni balanva,spelling_error
Meeatto kandaarni balanava,Meeatto kandaarni balnva,spelling_error
Meeatto okma balanava,Meeatto okma balanava,spelling_error
Topan irapojja tibenava,Topan irapojja,missing_word
Topan irapojja tibenava,Topan tibenava,missing_word
Topan irapojja tibenava,irapojja tibenava,missing_word
Meeatto pannilaatto tibenava,panilaatto tibenava,missing_word
Meeatto pannilaatto tibenava,Meeatto tibenava,missing_word
Meeatto pannilaatto tibenava,Meeatto panilaatto,missing_word
Meeatto kandaarni balanava,Meeatto kandaarni,missing_word
Meeatto kandaarni balanava,kandaarni balanava,missing_word
Meeatto kandaarni balanava,Meeatto balanava,missing_word
dandDukacca,danddukacca,spelling_error
mon-ekaa-da,mon-ekaa-da,spelling_error
kaevillaeva,kaevillavaeva,spelling_error
Meeatto thanamak katha daamu,Meeato thanamak katha daamu,spelling_error
Meeatto thanamak katha daamu,Meetto thanamak katha daamu,spelling_error
Meeatto thanamak katha daamu,Meeatto thanak katha daamu,spelling_error
Meeatto thanamak katha daamu,Meeatto thamak katha daamu,spelling_error
Meeatto thanamak katha daamu,Meeatto thanama katha daamu,spelling_error
Meeattonta leda pojja mandovela,Meeatonta leda pojja mandovela,spelling_error
Meeattonta leda pojja mandovela,Meettonta leda pojja mandovela,spelling_error
Meeattonta leda pojja mandovela,Meeattonta leda poja mandovela,spelling_error
Meeattonta leda pojja mandovela,Meeattonta leda pojja mandvela,spelling_error
Meeattonta leda pojja mandovela,Meeattonta leda pojja mandovla,spelling_error
Meeattonta leda pojja mandovela,Meeattonta leda pojja madovela,spelling_error
Meeatto thanamak katha daamu,Meeatto thanamak daamu katha,word_order_error
Meeatto thanamak katha daamu,Meeatto katha thanamak daamu,word_order_error
Meeatto thanamak katha daamu,Meeatto katha daamu thanamak,word_order_error
Meeatto thanamak katha daamu,Meeatto daamu thanamak katha,word_order_error
Meeatto thanamak katha daamu,Meeatto daamu katha thanamak,word_order_error
Meeatto thanamak katha daamu,Thanamak meeatto katha daamu,word_order_error
Meeatto thanamak katha daamu,Thanamak meeatto daamu katha,word_order_error
Meeatto thanamak katha daamu,Thanamak katha meeatto daamu,word_order_error
Meeatto thanamak katha daamu,Thanamak katha daamu meeatto,word_order_error
Meeatto thanamak katha daamu,Thanamak daamu meeatto katha,word_order_error
Meeatto thanamak katha daamu,Thanamak daamu katha meeatto,word_order_error
